,hucid,states
15442,1804000306,CA
15443,1801010404,CA
15444,1802016103,CA
15445,1809020109,CA
15446,1804000802,CA
15447,1802011504,CA
15448,1810020307,CA
15449,1806000602,CA
15450,1804000608,CA
15451,1810020406,CA
15452,1802000504,CA
15453,1810010008,CA
15454,1806000702,CA
15455,1803000404,CA
15456,1806000514,CA
15457,1809020618,CA
15458,1809010205,CA
15459,1802010404,CA
15460,1807030204,CA
15461,1803000905,CA
15462,1802000309,CA
15463,1810020411,"CA,MX"
15464,1802000213,CA
15465,1808000102,"CA,NV"
15466,1810010034,CA
15467,1808000312,"CA,NV"
15468,1807030301,CA
15469,1804000803,CA
15470,1804005101,CA
15471,1802012904,CA
15472,1808000301,CA
15473,1810020408,"CA,MX"
15474,1801010102,"CA,OR"
15475,1809020214,NV
15476,1809010206,CA
15477,1809020501,CA
15478,1806000604,CA
15479,1804000907,CA
15480,1802000302,CA
15481,1801020601,OR
15482,1802010402,CA
15483,1807020202,CA
15484,1809020824,CA
15485,1807020203,CA
15486,1802015703,CA
15487,1806000202,CA
15488,1802011101,CA
15489,1803000102,CA
15490,1806001503,CA
15491,1804000113,CA
15492,1806000207,CA
15493,1804005102,CA
15494,1810010042,CA
15495,1809020218,CA
15496,1803000903,CA
15497,1807010501,CA
15498,1802011103,CA
15499,1802015402,CA
15500,1804001208,CA
15501,1801020604,"CA,OR"
15502,1809020105,CA
15503,1806000607,CA
15504,1803001215,CA
15505,1802012203,CA
15506,1804000108,CA
15507,1802012104,CA
15508,1807010403,CA
15509,1806000901,CA
15510,1807010207,CA
15511,1809020215,"CA,NV"
15512,1803000106,CA
15513,1804000116,CA
15514,1802016204,CA
15515,1802011502,CA
15516,1803000704,CA
15517,1807010301,CA
15518,1804000902,CA
15519,1809020405,CA
15520,1807010502,CA
15521,1801010103,CA
15522,1808000307,CA
15523,1801010303,CA
15524,1804000121,CA
15525,1808000308,CA
15526,1803001223,CA
15527,1801020804,CA
15528,1808000313,"CA,NV"
15529,1803000714,CA
15530,1806000501,CA
15531,1801020902,"CA,OR"
15532,1803000401,CA
15533,1806000605,CA
15534,1801010104,"CA,OR"
15535,1809020610,CA
15536,1809020220,CA
15537,1807010607,CA
15538,1803000502,CA
15539,1809020609,CA
15540,1802012202,CA
15541,1810020404,CA
15542,1808000310,"CA,NV"
15543,1804000303,CA
15544,1804000202,CA
15545,1807030403,CA
15546,1806001002,CA
15547,1804001301,CA
15548,1804000704,CA
15549,1801020403,CA
15550,1803001006,CA
15551,1809020622,CA
15552,1810010021,CA
15553,1807030509,CA
15554,1802015707,CA
15555,1802012106,CA
15556,1806001302,CA
15557,1802012102,CA
15558,1809020401,CA
15559,1806000515,CA
15560,1809010302,CA
15561,1801020106,OR
15562,1807010504,CA
15563,1801020103,OR
15564,1805000404,CA
15565,1809010103,CA
15566,1805000301,CA
15567,1801011005,CA
15568,1806000510,CA
15569,1801010405,CA
15570,1807010209,CA
15571,1804001102,CA
15572,1810020105,CA
15573,1802011601,CA
15574,1809020303,CA
15575,1806000801,CA
15576,1810010037,CA
15577,1807020303,CA
15578,1805000201,CA
15579,1804000901,CA
15580,1805000407,CA
15581,1801010805,CA
15582,1808000103,"CA,NV"
15583,1807010402,CA
15584,1806000208,CA
15585,1809020404,CA
15586,1809020624,CA
15587,1807010404,CA
15588,1801010601,CA
15589,1809020704,CA
15590,1805000406,CA
15591,1807030201,CA
15592,1810020409,"CA,MX"
15593,1802000204,CA
15594,1802010407,CA
15595,1801010304,CA
15596,1802000101,OR
